date,Newspaper,Body Text,title
2024-03-22T15:53:38+0000,The New York Times,,how biden could try to coerce israel to change its war strategy
2024-06-08T21:45:13+0000,The New York Times,"israel-hamaswar advertisement supported by the news was met with jubilation in israel , where tensions over the hostages ’ safety have been rising in recent months . byaaron boxerman,raja abdulrahimandsteve lohr israeli soldiers and special operations police rescued four hostages from gaza on saturday amid a heavy air and ground assault and flew them back to israel by helicopter to be reunited with their families . the news was met with jubilation in israel , where anxieties over the fate of the roughly 120 remaining captives have been rising after eight months of war . residents in the town of nuseirat , where the hostages were being held , reported intense bombardments during the rescue operation . khalil al-daqran , an official at a hospital in the city , told reporters that scores of palestinians had been killed and that the hospital’s wards and corridors were packed with the wounded . rear adm . daniel hagari , the israeli military spokesman , told reporters the rescue mission took place around 11 a.m . saturday , when forces located the four hostages in two separate buildings where they were being held by hamas militants . he said the israeli forces came under fire but managed to extract the hostages in two helicopters . one special forces police officer died . the freed hostages — noa argamani , 26 , almog meir jan , 22 , andrey kozlov , 27 , and shlomi ziv , 41 — were kidnapped by palestinian militants from the nova music festival during the hamas-led attack on oct . 7 , when about 1,200 people were killed in israel and 250 taken hostage , israel says . all four were in good medical condition and were transferred to a hospital in israel for further examinations , the israeli authorities said in a statement . the fate of the hostages has been a source of intense political pressure on the israeli prime minister , benjamin netanyahu , amid the broader criticism that his government , for its own reasons , is in no hurry to wind down the conflict or to address the issue of who should govern gaza after the war . we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement",israel rescues 4 hostages in assault that killed scores of gazans
2024-05-11T17:27:54+0000,The New York Times,,"before the eurovision final , a pro-palestinian march"
2024-06-11T21:34:42+0000,The New York Times,"israel-hamaswar advertisement supported by anti-israel demonstrators gathered outside the exhibition in new york that honors people at a music festival in israel who were killed in the hamas attack . bymarc tracy hundreds of people protested against israel on monday night outside an exhibition in lower manhattan that commemorates the more than 360 people who were killed by hamas on oct . 7 at a rave in southern israel , prompting strong condemnations from public officials . the location of the demonstration — outside an exhibition featuring portraits of the people killed at the tribe of novatrance music festival , along with cars that were charred in the attack and the personal belongings that some music fans left behind — was widely criticized from the city government to washington . mayor eric adams of new york visited the exhibition on tuesday and called the protest “ despicable . ” and andrew bates , a white house spokesman , said in a statement tuesday , “ the events at yesterday’s memorial to those murdered at the nova music festival are outrageous and heartbreaking . ” one of the exhibition’s american organizers , scooter braun — a powerful music executive who was instrumental in the rise of justin bieber — said on tuesday that the exhibition , “ october 7th 06:29 am — the moment music stood still , ” had been extended a week , until june 22 . “ for those who chose to protest against innocent music lovers who were murdered … we will dance again , ” mr . braun,the chief executive of the music conglomerate hybe america , said in a statement . the protesters gathered monday evening steps away from the new york stock exchange building in lower manhattan , lit flares and repeated shouts including “ long live the intifada ” and “ israel , go to hell , ” according tovideos posted to social media . we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement",officials condemn protest outside exhibit memorializing oct . 7 victims
2024-06-06T10:00:30+0000,The New York Times,"for more audio journalism and storytelling,download new york times audio , a new ios app available for news subscribers . hosted bytracy mumford featuringmatina stevis-gridneff produced byian stewartanddavis land edited byjessica metzgerandtracy mumford on today’s episode : georgia appeals court stays most proceedings in trump election case,by richard fausset inside the base where israel has detained thousands of gazans,by patrick kingsley and bilal shbair european union 2024 election : what to know,by matina stevis-gridneff and monika pronczuk u.n . chief warns of missing a key climate target,by raymond zhong boeing carries nasa astronauts to orbit in ‘ milestone ’ starliner flight,by kenneth chang tune in , and tell us what you think attheheadlines@nytimes.com . for corrections , emailnytnews@nytimes.com . for more audio journalism and storytelling,downloadthe new york times audio app — available to times news subscribers on ios — andsign upfor our weekly newsletter . matina stevis-gridneffis the brussels bureau chief for the times , leading coverage of the european union.more about matina stevis-gridneff advertisement","court delays trump’s georgia case , and u.n . warns of ‘ climate hell ’"
2024-04-17T07:00:12+0000,The New York Times,,columbia’s president tells congress that action is needed against antisemitism
2024-03-09T07:03:59+0000,The New York Times,,sweden and canada to restart payments to u.n . agency for palestinians
2024-04-02T22:06:12+0000,The New York Times,,7 aid workers killed in gaza were known for a passion for helping others
2024-04-19T15:10:38+0000,The New York Times,,ukraine aid bill clears critical hurdle in the house as democrats supply the votes
2024-03-30T04:01:28+0000,The New York Times,,dispute over conscription for ultra-orthodox jews presents new threat to netanyahu
2024-06-04T20:52:59+0000,The New York Times,"advertisement supported by the republican-written bill , which the white house strongly opposes , stands little chance of becoming law after lawmakers failed to reach a bipartisan deal on penalizing measures . byrobert jimison reporting from the capitol the house voted mostly along party lines on tuesday to impose sweeping sanctions on officials at the international criminal court in a rebuke of efforts by the court’s top prosecutor tocharge top israeli leaderswith war crimes in connection with the offensive against hamas . the bill would compel president biden to restrict entry into the united states , revoke visas and impose financial restrictions on anyone at the court involved in trying to investigate , arrest , detain or prosecute “ protected persons , ” or allies of the united states . it would also target anyone who provides “ financial , material or technological support ” to those efforts . mr . biden’s advisers said he was “ strongly opposed ” to the measure because it would impose sanctions on such a broad swath of officials , including court staff members and any witnesses involved in a potential case . but it reflected broad bipartisan anger in washington after the court’s top prosecutor announced late last month that he wouldseek charges against both israeli and hamas leaders . the g.o.p . - written bill passed by a vote of 247 to 155 , with two republicans voting present and 42 democrats crossing party lines in support . representative chip roy , republican of texas and the author of the bill , said it was a necessary step to stop the international court from acting beyond its jurisdiction and to address fears that actions taken against israeli officials could be a prelude to actions against american officials . “ what happens here is going to be coming at us and our country , ” mr . roy said on tuesday . “ that’s why it’s important to speak with one voice , with authority , with force . ” we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement",house votes to impose sanctions on i.c.c . officials over israel prosecution
2024-04-13T14:34:40+0000,The New York Times,,iran seizes commercial ship linked to israel
2024-04-15T19:07:07+0000,The New York Times,,britain’s leaders condemn iran’s attacks but urge israel to show restraint
2024-03-31T21:18:32+0000,The New York Times,,"over 1,000 air reservists threaten to stop serving , as israel’s political crisis grows"
2024-06-06T21:23:07+0000,The New York Times,"israel-hamaswar advertisement al aqsa martyrs hospital , inundated by a rapidly rising casualty count , is so full that the crowds themselves are hampering treatment . bybilal shbairanderika solomon bilal shbair reported from central gaza . as dawn broke on thursday , haitham abu ammar combed through the rubble of the school that had become a shelter to him and thousands of other displaced gazans . for hours , he helped people piece together the limbs of the ones they loved . “ the most painful thing i have ever experienced was picking up those pieces of flesh with my hands , ” said mr . abu ammar , a 27-year-old construction worker . “ i never thought i would have to do such a thing . ” early on thursday , israeli airstrikes hit the school complex , killing dozens of people — among them at least nine militants , the israeli military said . over the course of the day , corpses and mangled limbs recovered from the rubble were wrapped in blankets , stacked in truck beds and driven to al aqsa martyrs hospital , the last major medical facility still operating in central gaza . israel’s military described the airstrike as painstakingly planned . rear adm . daniel hagari told reporters that israeli forces had tracked the militants in the school-turned-shelter for three days before opening fire . “ the israeli military and the shin bet found a solution to separate the terrorists from those seeking shelter , ” he said . we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement",‘ mama ! mama ! ’ israeli strike sets off chaos at gazan hospital
2024-03-27T23:00:08+0000,The New York Times,,"israel and hezbollah trade fire , with deaths reported on both sides"
2024-04-19T17:54:13+0000,The New York Times,,"what we know about columbia university’s president , nemat shafik"
2024-03-01T04:57:01+0000,The New York Times,,pro-palestinian rally becomes mass subway ride to confront kathy hochul
2024-03-23T09:01:08+0000,The New York Times,,gaza’s shadow death toll : bodies buried beneath the rubble
2024-06-11T01:47:43+0000,The New York Times,"israel-hamaswar advertisement supported by when a truck carrying three of four rescued hostages broke down and came under fire , israel says it called in an airstrike . scores of palestinians were killed , gazan officials say . bybilal shbairandronen bergman bilal shbair reported from nuseirat in the gaza strip , and ronen bergman from tel aviv . when the four israelis woke up in gaza on saturday , they had been heldhostage by hamas for 245 days . the buildings in which they were being kept , two low-rise , concrete apartment blocks , looked much like the other nearby residences in a civilian neighborhood full of palestinian families . within a few hours , the captives,three men and one woman , would be reunited with their own families , the result of a risky , long-planned rescue operation in which the full might of the israeli military would be used to devastating effect . “ i’m so emotional , ” one hostage , noa argamani , 26 , told prime minister benjamin netanyahu of israel in a phone call after her release . “ it’s been so long since i heard hebrew . ” the rescue effort in nuseirat involved hundreds of intelligence officers and two teams of commandos who simultaneously stormed the homes in which the hostages were being held , the israeli military said . in one apartment , where the male hostages were imprisoned , a firefight broke out between the soldiers and the hamas guards , according to the military and video footage it released of the encounter . later , and under a hail of gunfire , the truck in which three hostages and a wounded israeli officer were being evacuated broke down and was surrounded by militants , israeli officials said . in an effort to give the rescuers enough time and ample cover to get the captives to freedom , the military said , the air force began striking dozens of nearby targets . many palestinians became aware of the fighting only when they heard bombs exploding . we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement","after weeks of planning , seconds made the difference in israel’s hostage rescue"
2024-03-22T14:36:10+0000,The New York Times,,a look at the three previous u.n . cease-fire resolutions the u.s . vetoed
2024-03-14T22:33:56+0000,The New York Times,,"as irish leader visits u.s . , shamrock camaraderie is strained by gaza war"
2024-05-24T17:30:40+0000,The New York Times,"israel-hamaswar advertisement israeli bombardments and raids have put many of gaza’s hospitals out of operation and only a few remain even partially functional . byraja abdulrahim israeli forces massed at the entrance to a major hospital in the northern gaza strip on friday , trapping more than a dozen medical personnel inside and all but putting one of the last functioning hospitals out of operation , according to a doctor and palestinian news media . for days , the israeli military has bombarded the area around kamal adwan hospital in beit lahia , near the northernmost edge of the territory . its advance with tanks toward the northern entrances cut off access to the hospital , according to dr . eid sabbah , the head of nursing at the hospital . “ now it is considered practically , because it is besieged , not operational , ” said dr . sabbah , who had been at the hospital on thursday . many patients were receiving kidney dialysis on thursday , he said , but they also left before the military cut off access . “ the military has reached the entrances , ” he said . the blockade of kamal adwan came two days after the israeli military ordered patients and staff atal awda hospitalnearjabaliya , another major medical center in northern gaza , to evacuate on wednesday and then raided the complex . about 30 people remained there , including medical staff and patients in critical condition who could not be transferred . israeli forces destroyed doors and damaged equipment , gazan officials said . the israeli military has repeatedly besieged and assaulted gaza’s hospitals , contending that hamas , the armed group that led the oct . 7 attack on israel , uses them as shields , with its fighters operating within the hospitals and from tunnels beneath them . hamas and hospital administrators have denied the claims . the israeli military has taken journalists on tours of one hospital it raided and provided documents it says prove its claims about hamas and hospitals . but there has been no independent verification of the claims . we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement",israeli forces cut off access to kamal adwan hospital in northern gaza
2024-04-15T23:17:57+0000,The New York Times,,"israeli settlers kill 2 palestinian men in the west bank , officials say"
2024-04-02T17:20:32+0000,The New York Times,,fears grow that syria strike could spur retaliatory attacks on israel and u.s .
2024-06-10T23:43:46+0000,The New York Times,"israel-hamaswar advertisement the vote was aimed at keeping the divisive issue in the hands of legislators instead of judges , who have repeatedly determined that an exemption should not stand . byephrat livni israel’s parliament on tuesday voted to revive a bill that would enable ultra-orthodox men to be drafted into the military , a divisive issue that has become especially contentious since the war in gaza began last october . the vote , which passed 63-57 , was a procedural step aimed at keeping the hot-button issue in the hands of legislators instead of judges , who have repeatedly determined thatthe exemption , dating to the founding of israel , should not stand . many secular israelis have long lamented the draft exemptions for the most religious members of society . the issue has taken new prominence since the hamas-led attack in israel on oct . 7 set off a war that has prompted repeated call-ups of reserve soldiers . the bill , which revives a proposal made in 2022 , would limit the exemption for young ultra-orthodox men enrolled in religious study , establish recruitment quotas for them and provide alternative service options , among other changes . some critics contend , however , that the proposal would not significantly increase military service among the ultra-orthodox , known in hebrew as haredim . the bill was advanced in may by prime minister benjamin netanyahu , in an apparent effort to deter israel’s supreme court from taking the lead on the matter.the justices are currently considering whether the government must immediately begin drafting the ultra-orthodox , following the expiration of a law last year that was temporarily extended and has expired again . the vote on tuesday was widely seen as intended to send a signal to the court that the knesset was addressing the issue . the court ordered the government to address it long ago , but years of legislative efforts have failed to produce meaningful change . we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement",israel’s parliament revives bill on drafting ultra-orthodox men into military
2024-05-19T21:47:07+0000,The New York Times,,critics fault ‘ aggressive ’ n.y.p.d . response to pro-palestinian rally
2024-03-14T11:00:53+0000,The New York Times,,new u.k . extremism policy raises concerns over free speech
2024-03-28T23:00:19+0000,The New York Times,,fighting rages around two gaza hospitals as pressure on israel rises
2024-03-05T15:25:07+0000,The New York Times,"israel-hamaswar advertisement u.s . air force cargo planes dropped 36,800 ready-to-eat meals , in a joint operation with the jordanian air force , but a pentagon spokesman said were no plans to put u.s . forces on the ground . byhelene cooper the united states made a second round of airdrops of humanitarian aid into the gaza strip on tuesday , as the biden administration continued its efforts to prevent a greater humanitarian disaster in the palestinian territory . u.s . air force cargo planes dropped 36,800 ready-to-eat meals , in a joint operation with the jordanian air force , “ to provide essential relief to civilians affected by the ongoing conflict , ” u.s . central command said in a statement on tuesday . it said that army troops trained in aerial delivery were part of the airdrop , and that it was planning more such missions . however , the pentagon said on tuesday that the united states did not intend to send its troops into gaza to strengthen the aid distribution process . “ at this time there are no plans to put u.s . forces on the ground in gaza , ” maj . gen . patrick ryder , a pentagon spokesman , said at a news conference . some aid experts and humanitarian groups have criticized the american airdrops as insufficient and largely symbolic , given the scale of the hunger problem facing gaza after five months of war . cargo planes can only move a fraction of the food a convoy of trucks can deliver , experts say , and a better solution would be for the united states to persuade israel to open more border crossings and speed up inspections . the operation on tuesday followed a first round of airdrops on saturday , two days aftermore than 100 palestinians were killedas israeli forces opened fire around a convoy of aid trucks in northern gaza . doctors at gaza hospitals said most of the casualties were from gunfire . the israeli military said most of the victims were trampled as they tried to seize the cargo , although israeli officials acknowledged that troops had fired on some people who they said had threatened them . after the convoy killings , president biden said the united states would find new ways to get aid to palestinians in desperate need because of israel’s five-month military campaign to destroy hamas . only atrickle of aidhas been reaching northern gaza via land , but aid groups have criticized airdrops asineffective . the amount of aid delivered by a french plane in anairdroplast week was much less than a single truckload . although mr . biden has implored israel , which has largely sealed its border with gaza , to clear the way for more aid deliveries , the demand for food , water and medicine there remains huge . those conditions have put mr . biden under political pressure to do more to help the palestinians , even as the united states supplies israel with military hardware . despite his frustrations with israel’s political leadership , mr . biden has not threatened to put limits on american military aid to the country . helene cooperis a pentagon correspondent . she was previously an editor , diplomatic correspondent and white house correspondent.more about helene cooper advertisement",u.s . conducts 2nd airdrop but will not use troops on the ground in aid effort
2024-03-23T00:24:29+0000,The New York Times,,"ocasio-cortez , in house speech , accuses israel of ‘ genocide ’"
2024-04-05T17:02:09+0000,The New York Times,,gazans describe search for food and wonder if it will get worse
2024-05-21T00:06:28+0000,The New York Times,"advertisement supported by violent responses to pro-palestinian activists follow a sweeping agreement aimed at striking an equilibrium between preserving public safety and the rights of protesters . bymaria cramer last september , the new york police departmentsigned a sweeping agreement in federal courtthat was meant to end overwhelming responses to protests that often led to violent clashes , large-scale arrests and expensive civil rights lawsuits . the sight of hundreds of officers in tactical gearmoving in on pro-palestinian demonstrators in bay ridge , brooklyn , on saturdaysuggested to civil libertarians that the department might not abide by the agreement when it is fully implemented . at least two officers wearing the white shirts of commanders were filmed punching three protesters who were prone in the middle of a crosswalk . and film clips of recent campus protests showed some officers pushing and dragging students , a handful of whom later said they had been injured by the police , though many officers appeared to show restraint during the arrests . “ i think members of the public are very concerned that the police will be unwilling or unable to meet their end of the bargain , ” said jennvine wong , a staff attorney with legal aid , which , along with the new york civil liberties union , filed a lawsuit against the city over the department’s response to protests in 2020 afterthe killing of george floyd . that lawsuit was later combined with a complaint filed by letitia james , the state attorney general , over what she called widespread abuses during the black lives matter protests . last fall , police officials and ms . james reached the agreement in federal court , intended to strike a new equilibrium between the department’s need to preserve public safety and the rights of protesters . the city , along with two major police unions , agreed to develop policies and training that would teach the department to respond gradually to demonstrations , rather than sending in large numbers of officers immediately , and to emphasize de-escalation over an immediate show of force . the implementation was expected to take three years . we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement",brooklyn protest raises doubts about n.y.p.d . commitment to new tactics
2024-04-17T20:30:09+0000,The New York Times,,"israeli response to iran attack seems inevitable , despite allies ’ pleas"
2024-03-17T22:56:21+0000,The New York Times,,"‘ we’re not a banana republic , ’ netanyahu says , rejecting criticism from u.s ."
2024-04-05T14:52:01+0000,The New York Times,,mcdonald’s to buy back 225 franchised outlets in israel after boycotts
2024-03-05T22:58:53+0000,The New York Times,"advertisement the campaigns have been fragmented , organized with far less time and resources than michigan’s operation . byanjali huynh organizers in several super tuesday states are calling on voters to oppose president biden at the ballot box over his stance on the war in israel and gaza , building on momentum that began last month in michigan . more than 101,000 michigandersvoted “ uncommitted”in the state’s democratic primary , after a group of young arab americans started a campaign encouraging voters to protest mr . biden’s alliance with israel — earning two delegates to the democratic national convention . inspired by the campaign , pro-palestinian groups around the country started similar efforts to push the president to call for a permanent cease-fire . in colorado , a group of palestinian activists scrambled to create a social media campaign for the state’s“noncommitted delegate ” optionwhile michigan returns were still coming in last week . in minnesota , organizers knocked on doors and held get-out-the-vote events to promotethe “ uncommitted ” category , with outreach to muslim somali americans and young voters . and in massachusetts , thousands of protestersat a rally in cambridgechanted “ no preference , ” the similar designated protest option . the campaigns have been fragmented , organized with far less time and resources than michigan’s operation . many were planned in a matter of days , well after early voting had already begun , and several organizers declined to articulate specific benchmarks for what would constitute success on tuesday night beyond the goal of seeing mr . biden move his position . ( organizers in minnesota said they were aiming for 5,000 “ uncommitted ” votes , a low target that was about double what the category received in the 2020 democratic primary . ) the other states also lack michigan’s position in the broader backlash to mr . biden’s policy : the state has a sizable arab american population , for whom the issue has been particularly painful , and ahead of the vote , prominent democrats in the statewarned about the potentialfor political peril . the “ uncommitted ” effort drew the backing of representative rashida tlaib , a member of the group of liberals in the house known as the squad . we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement",how the ‘ uncommitted ’ effort to protest biden has spread in super tuesday states
2024-04-23T02:39:10+0000,The New York Times,,universities struggle as pro-palestinian demonstrations grow
2024-03-07T20:25:09+0000,The New York Times,"advertisement domestic and international anger over israel’s response to the oct . 7 attacks has complicated president biden’s diplomatic and re-election efforts . bymichael crowley nearly five months since hamas militants attacked and killed about 1,200 people in israel , president biden has been swept into the resulting upheaval in the region . as he prepares to address the nation , he finds himself navigating a wider middle east emergency with profound moral , political and security implications for his presidency . early sympathy for israel after the oct . 7 attacks has given way to domestic and international anger over the suffering in gaza . israel’s subsequent military campaign to crush hamas has now killed more than 30,000 palestinians , according to officials in gaza , with dire shortages of food , water and medicine creating a humanitarian crisis . because israel’s military heavily depends on american-supplied weapons and munitions , mr . biden is under pressure at home and abroad to rein in israel and alleviate the suffering in gaza . but despite increasingly adamant calls for israel to do more to protect civilians and provide them with aid , u.s . officials say that is not happening . even so , mr . biden has restrained his criticism of israel’s right-wing government and resisted demands for restricting american aid to israel , often reminding the world that israel was brutally attacked and has a right to self-defense . he has ordered airdrops of aid into gaza to supplement the limited truck convoys that enter the territory from israel . but aid workers say those aerial supplies will make little difference . seeking to do more , mr . biden will announce a plan for the united states to build a floating pier off gaza that can receive more supplies . u.s . officials say their best hope is to help broker a deal between israel and hamas to pause the fighting for several weeks , allow for the release of israeli hostages held by hamas , and enable a surge of humanitarian supplies into the territory . some u.s . officials think that such a pause in combat could evolve into a longer-term cease-fire . talks among several nations to strike a deal have been underway for weeks , and u.s . officials say that israel has signed off on an offer . but hamas has yet to agree . we are having trouble retrieving the article content . please enable javascript in your browser settings . thank you for your patience while we verify access . if you are in reader mode please exit andlog intoyour times account , orsubscribefor all of the times . thank you for your patience while we verify access . already a subscriber?log in . want all of the times?subscribe . advertisement",war in gaza presents biden with challenges at home and abroad
2024-04-14T02:29:50+0000,The New York Times,,u.s . intercepts dozens of iranian drones and missiles aimed at israel
2024-05-05T14:30:10+0000,The New York Times,,police again clear pro-palestinian encampment at u.s.c .
2024-04-01T20:55:15+0000,The New York Times,,3 top iranian commanders are reported killed in israeli strike in syria
2024-03-19T11:18:44+0000,The New York Times,,israel’s spy chief returns home as cease-fire talks continue in qatar
2024-03-25T18:00:49+0000,The New York Times,,trump urges israel to ‘ finish up your war ’
